id_song,track_name,artist(s)_name,id_rec_1,id_rec_2,id_rec_3,id_rec_4,id_rec_5,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,et_key,et_mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_0,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,genre_inferred,subgenre_inferred
10,un x100to,"Bad Bunny, Grupo Frontera",586,21,200,532,295,2876,40,505671438,41,205,54,12,251,83,6,0,57,56,72,23,0,27,5,bad bunny,grupo frontera,,,,,,,Latin / Reggaeton,
11,Super Shy,NewJeans,24,106,87,83,671,422,55,58255150,37,202,21,5,168,150,3,0,78,52,82,18,0,15,7,newjeans,,,,,,,,K-Pop,Latin / Reggaeton
12,Daylight,David Kushner,480,268,303,242,88,3528,98,387570742,80,156,182,24,1281,130,5,0,51,32,43,83,0,9,3,david kushner,,,,,,,,Pop,
13,Kill Bill,SZA,368,390,517,438,360,8109,77,1163093654,183,162,161,12,187,89,7,1,64,43,73,5,17,16,4,sza,,,,,,,,R&B,Pop
14,Cupid - Twin Ver.,Fifty Fifty,387,604,223,23,410,2942,77,496795686,91,212,78,6,0,120,1,0,78,76,59,43,0,34,3,fifty fifty,,,,,,,,K-Pop,
15,Classy 101,"Feid, Young Miko",692,350,583,624,591,2610,40,335222234,43,100,54,14,187,100,1,1,86,67,66,14,0,12,16,feid,young miko,,,,,,,Latin / Reggaeton,
16,Like Crazy,Jimin,232,91,643,78,613,596,68,363369738,8,104,23,2,29,120,8,1,63,36,73,0,0,36,4,jimin,,,,,,,,K-Pop,
17,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",98,32,18,6,157,332,26,86444842,11,163,10,4,0,140,3,0,65,87,74,22,0,42,4,gabito ballesteros,junior h,peso pluma,,,,,,Latin / Reggaeton,
18,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",6,31,198,87,11,1313,40,200647221,17,152,32,11,139,133,3,0,85,81,67,26,0,12,5,bizarrap,peso pluma,,,,,,,Latin / Reggaeton,
19,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",231,396,655,683,178,1945,87,115364561,74,182,87,14,1093,99,2,1,85,83,68,7,0,36,20,the weeknd,madonna,playboi carti,,,,,,R&B,Latin / Reggaeton
20,SABOR FRESA,Fuerza Regida,247,119,31,43,44,250,26,78300654,16,149,10,5,168,130,8,0,79,96,86,9,0,9,9,fuerza regida,,,,,,,,Latin / Reggaeton,K-Pop
21,MOJABI GHOST,"Tainy, Bad Bunny",586,10,592,532,534,859,40,61245289,35,109,41,14,211,122,6,0,81,74,71,14,0,56,4,tainy,bad bunny,,,,,,,Latin / Reggaeton,
22,Last Night,Morgan Wallen,281,255,279,433,112,2420,19,429829812,52,107,15,1,325,204,6,1,52,52,68,46,0,15,4,morgan wallen,,,,,,,,Pop,
23,Dance The Night (From Barbie The Album),Dua Lipa,316,534,410,149,387,2988,101,127408954,0,0,143,38,0,110,1,0,67,78,85,2,0,33,5,dua lipa,,,,,,,,Pop,K-Pop
24,Rush,Troye Sivan,11,550,87,224,296,864,78,22581161,71,135,50,1,294,126,3,0,74,35,84,0,0,11,6,troye sivan,,,,,,,,Pop,
25,TULUM,"Peso Pluma, Grupo Frontera",255,281,22,659,454,266,34,52294266,20,185,13,8,197,168,6,1,56,63,87,39,0,11,5,peso pluma,grupo frontera,,,,,,,Latin / Reggaeton,
26,Creepin',"The Weeknd, 21 Savage, Metro Boomin",37,39,291,691,549,6036,88,843957510,113,149,245,23,27,98,2,0,71,17,61,36,0,8,5,the weeknd,21 savage,metro boomin,,,,,,Hip-Hop / Rap,
27,Anti-Hero,Taylor Swift,710,29,719,30,91,9082,56,999748277,242,142,165,9,310,97,9,1,64,51,63,12,0,19,5,taylor swift,,,,,,,,Pop,
28,TQG,"Karol G, Shakira",478,83,147,449,284,4284,49,618990393,115,123,184,18,354,180,9,0,72,61,63,67,0,9,28,karol g,shakira,,,,,,,Latin / Reggaeton,
29,Blank Space,Taylor Swift,719,160,97,27,36,11434,53,1355959075,154,123,410,2,81,96,3,1,75,57,68,9,0,13,6,taylor swift,,,,,,,,Pop,
30,Style,Taylor Swift,64,339,215,91,700,7830,42,786181836,94,111,151,4,82,95,5,1,60,48,79,0,0,12,4,taylor swift,,,,,,,,Pop,
31,TQM,Fuerza Regida,20,87,649,198,11,584,28,176553476,16,159,15,6,100,125,3,0,79,96,85,27,0,11,6,fuerza regida,,,,,,,,Latin / Reggaeton,
32,El Azul,"Junior H, Peso Pluma",98,173,17,382,106,692,25,354495408,10,107,6,3,62,144,4,0,56,84,65,23,0,10,6,junior h,peso pluma,,,,,,,Latin / Reggaeton,
33,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",81,509,306,209,561,24094,78,2808096550,372,117,843,4,69,90,5,1,76,91,50,54,0,7,5,post malone,swae lee,,,,,,,Hip-Hop / Rap,Latin / Reggaeton
34,I'm Good (Blue),"Bebe Rexha, David Guetta",469,481,43,385,20,12482,80,1109433169,291,184,537,45,727,128,8,0,56,38,97,4,0,35,4,bebe rexha,david guetta,,,,,,,Dance / Electronic,
35,See You Again,"Tyler, The Creator, Kali Uchis",240,239,451,473,524,13387,64,1047101291,77,58,247,1,311,79,6,1,56,58,56,37,0,11,10,tyler,the creator,kali uchis,,,,,,Hip-Hop / Rap,
36,Angels Like You,Miley Cyrus,29,146,719,76,134,3372,19,570515054,65,48,138,1,102,122,3,1,67,49,64,10,0,10,3,miley cyrus,,,,,,,,Pop,
37,Die For You,The Weeknd,39,382,124,385,547,2483,59,1647990401,68,21,24,0,259,134,2,0,59,51,52,9,0,15,7,the weeknd,,,,,,,,R&B,Pop
38,Starboy,"The Weeknd, Daft Punk",137,372,673,79,713,29536,79,2565529693,281,137,2445,1,140,186,8,1,68,49,59,16,0,13,28,the weeknd,daft punk,,,,,,,R&B,Latin / Reggaeton
39,Die For You - Remix,"Ariana Grande, The Weeknd",37,389,680,73,547,3408,47,518745108,87,86,74,1,16,67,2,0,53,50,53,23,0,44,7,ariana grande,the weeknd,,,,,,,Pop,
40,El Cielo,"Feid, Myke Towers, Sky Rompiendo",388,661,486,574,675,1298,38,107753850,44,64,57,10,110,106,10,0,72,17,64,7,0,10,5,feid,myke towers,sky rompiendo,,,,,,Latin / Reggaeton,Hip-Hop / Rap
